anio_mes,categoria,cantidad
2023-01,Bebidas,141
2023-01,Carnes,72
2023-01,Congelados,40
2023-01,Descartables,279
2023-01,Embutidos,9
2023-01,Enlatados,83
2023-01,Lácteos,187
2023-02,Bebidas,99
2023-02,Carnes,52
2023-02,Congelados,49
2023-02,Descartables,282
2023-02,Embutidos,24
2023-02,Enlatados,81
2023-02,Lácteos,132
2023-03,Bebidas,309
2023-03,Carnes,284
2023-03,Congelados,129
2023-03,Descartables,1001
2023-03,Embutidos,73
2023-03,Enlatados,322
2023-03,Lácteos,547
2023-04,Bebidas,455
2023-04,Carnes,384
2023-04,Congelados,257
2023-04,Descartables,1412
2023-04,Embutidos,101
2023-04,Enlatados,531
2023-04,Lácteos,797
2023-05,Bebidas,355
2023-05,Carnes,284
2023-05,Congelados,134
2023-05,Descartables,1178
2023-05,Embutidos,76
2023-05,Enlatados,348
2023-05,Lácteos,605
2023-06,Bebidas,357
2023-06,Carnes,244
2023-06,Congelados,154
2023-06,Descartables,1168
2023-06,Embutidos,95
2023-06,Enlatados,289
2023-06,Lácteos,542
2023-07,Bebidas,441
2023-07,Carnes,394
2023-07,Congelados,271
2023-07,Descartables,1370
2023-07,Embutidos,111
2023-07,Enlatados,425
2023-07,Lácteos,813
2023-08,Bebidas,361
2023-08,Carnes,311
2023-08,Congelados,175
2023-08,Descartables,994
2023-08,Embutidos,76
2023-08,Enlatados,338
2023-08,Lácteos,510
2023-09,Bebidas,478
2023-09,Carnes,420
2023-09,Congelados,220
2023-09,Descartables,1741
2023-09,Embutidos,99
2023-09,Enlatados,546
2023-09,Lácteos,875
2023-10,Bebidas,405
2023-10,Carnes,286
2023-10,Congelados,191
2023-10,Descartables,1244
2023-10,Embutidos,100
2023-10,Enlatados,317
2023-10,Lácteos,727
2023-11,Bebidas,332
2023-11,Carnes,280
2023-11,Congelados,166
2023-11,Descartables,1046
2023-11,Embutidos,74
2023-11,Enlatados,317
2023-11,Lácteos,595
2023-12,Bebidas,509
2023-12,Carnes,366
2023-12,Congelados,233
2023-12,Descartables,1337
2023-12,Embutidos,106
2023-12,Enlatados,475
2023-12,Lácteos,818
2024-01,Bebidas,352
2024-01,Carnes,265
2024-01,Congelados,129
2024-01,Descartables,1252
2024-01,Embutidos,103
2024-01,Enlatados,332
2024-01,Lácteos,606
2024-02,Bebidas,370
2024-02,Carnes,288
2024-02,Congelados,141
2024-02,Descartables,1027
2024-02,Embutidos,76
2024-02,Enlatados,290
2024-02,Lácteos,566
2024-03,Bebidas,554
2024-03,Carnes,423
2024-03,Congelados,227
2024-03,Descartables,1455
2024-03,Embutidos,109
2024-03,Enlatados,535
2024-03,Lácteos,968
2024-04,Bebidas,264
2024-04,Carnes,286
2024-04,Congelados,128
2024-04,Descartables,952
2024-04,Embutidos,76
2024-04,Enlatados,279
2024-04,Lácteos,560
2024-05,Bebidas,450
2024-05,Carnes,270
2024-05,Congelados,158
2024-05,Descartables,1042
2024-05,Embutidos,91
2024-05,Enlatados,295
2024-05,Lácteos,560
2024-06,Bebidas,483
2024-06,Carnes,388
2024-06,Congelados,205
2024-06,Descartables,1573
2024-06,Embutidos,117
2024-06,Enlatados,461
2024-06,Lácteos,852
2024-07,Bebidas,313
2024-07,Carnes,278
2024-07,Congelados,154
2024-07,Descartables,927
2024-07,Embutidos,86
2024-07,Enlatados,321
2024-07,Lácteos,496
2024-08,Bebidas,480
2024-08,Carnes,405
2024-08,Congelados,169
2024-08,Descartables,1472
2024-08,Embutidos,135
2024-08,Enlatados,390
2024-08,Lácteos,726
2024-09,Bebidas,430
2024-09,Carnes,348
2024-09,Congelados,173
2024-09,Descartables,1060
2024-09,Embutidos,90
2024-09,Enlatados,450
2024-09,Lácteos,786
2024-10,Bebidas,364
2024-10,Carnes,311
2024-10,Congelados,169
2024-10,Descartables,1012
2024-10,Embutidos,93
2024-10,Enlatados,284
2024-10,Lácteos,597
2024-11,Bebidas,400
2024-11,Carnes,420
2024-11,Congelados,192
2024-11,Descartables,1576
2024-11,Embutidos,150
2024-11,Enlatados,456
2024-11,Lácteos,858
2024-12,Bebidas,101
2024-12,Carnes,89
2024-12,Congelados,41
2024-12,Descartables,179
2024-12,Embutidos,32
2024-12,Enlatados,73
2024-12,Lácteos,147
